model,repeat,fold,split_id,n_train,n_valid,rf_param_hash,R2,RMSE,MSE
B2,9,3,42,33,8,ce6ca82c326e584d8d688a7bedd72e06f508088c933485bfbfa222c82aab7fd0,-4.889279343731009,348.3150568170858,121323.37880548972
B2,9,4,43,33,8,ce6ca82c326e584d8d688a7bedd72e06f508088c933485bfbfa222c82aab7fd0,-0.466488200941084,550.1753508694532,302692.91670432594
B2,9,5,44,33,8,ce6ca82c326e584d8d688a7bedd72e06f508088c933485bfbfa222c82aab7fd0,-1.8251637874454847,446.0006042249188,198916.53896899265
B2,10,1,45,32,9,ce6ca82c326e584d8d688a7bedd72e06f508088c933485bfbfa222c82aab7fd0,-0.7430637951678483,388.9802306480316,151305.61983499583
B2,10,2,46,33,8,ce6ca82c326e584d8d688a7bedd72e06f508088c933485bfbfa222c82aab7fd0,-3.992501341615653,377.5525811107063,142545.95150335645
B2,10,3,47,33,8,ce6ca82c326e584d8d688a7bedd72e06f508088c933485bfbfa222c82aab7fd0,-2.168250139599684,388.39761762255256,150852.70937487457
B2,10,4,48,33,8,ce6ca82c326e584d8d688a7bedd72e06f508088c933485bfbfa222c82aab7fd0,-0.22693483642837609,2558.096435535276,6543857.373498285
B2,10,5,49,33,8,ce6ca82c326e584d8d688a7bedd72e06f508088c933485bfbfa222c82aab7fd0,0.22296319608673953,616.8115658680061,380456.50778854167
B2,11,1,50,32,9,ce6ca82c326e584d8d688a7bedd72e06f508088c933485bfbfa222c82aab7fd0,-0.07963403536748714,2295.966888711817,5271463.95406102
B2,11,2,51,33,8,ce6ca82c326e584d8d688a7bedd72e06f508088c933485bfbfa222c82aab7fd0,0.22211982641684458,630.9228625013278,398063.65842686937
B2,11,3,52,33,8,ce6ca82c326e584d8d688a7bedd72e06f508088c933485bfbfa222c82aab7fd0,-3.5224408204741415,509.57850339340837,259670.25112066593
B2,11,4,53,33,8,ce6ca82c326e584d8d688a7bedd72e06f508088c933485bfbfa222c82aab7fd0,-0.4315804406974275,568.4335754989892,323116.72975456505
B2,11,5,54,33,8,ce6ca82c326e584d8d688a7bedd72e06f508088c933485bfbfa222c82aab7fd0,-0.4207882572269892,564.3904189307542,318536.54498083226
B2,12,1,55,32,9,ce6ca82c326e584d8d688a7bedd72e06f508088c933485bfbfa222c82aab7fd0,-0.06961125958922931,2291.4886284043473,5250920.134106437
B2,12,2,56,33,8,ce6ca82c326e584d8d688a7bedd72e06f508088c933485bfbfa222c82aab7fd0,0.12249047116341893,669.1352460499705,447741.97750635457
B2,12,3,57,33,8,ce6ca82c326e584d8d688a7bedd72e06f508088c933485bfbfa222c82aab7fd0,0.015101043361132938,622.9349983518484,388048.0121716175
B2,12,4,58,33,8,ce6ca82c326e584d8d688a7bedd72e06f508088c933485bfbfa222c82aab7fd0,-2.7304822055238986,330.62769159860557,109314.67045182263
B2,12,5,59,33,8,ce6ca82c326e584d8d688a7bedd72e06f508088c933485bfbfa222c82aab7fd0,-19.695363513856492,531.2713081548897,282249.2028686077
B2,13,1,60,32,9,ce6ca82c326e584d8d688a7bedd72e06f508088c933485bfbfa222c82aab7fd0,0.022690536228280322,486.1824572115185,236373.38170023003
B2,13,2,61,33,8,ce6ca82c326e584d8d688a7bedd72e06f508088c933485bfbfa222c82aab7fd0,-0.5808946464547555,416.74983015097047,173680.42093086272
B2,13,3,62,33,8,ce6ca82c326e584d8d688a7bedd72e06f508088c933485bfbfa222c82aab7fd0,-0.18861848207012466,2495.6998873343064,6228517.927640469
B2,13,4,63,33,8,ce6ca82c326e584d8d688a7bedd72e06f508088c933485bfbfa222c82aab7fd0,-2.0245256694756715,280.1046237666106,78458.60025543446
B2,13,5,64,33,8,ce6ca82c326e584d8d688a7bedd72e06f508088c933485bfbfa222c82aab7fd0,0.1756954568897081,641.5189307221244,411546.5384748579
B2,14,1,65,32,9,ce6ca82c326e584d8d688a7bedd72e06f508088c933485bfbfa222c82aab7fd0,0.09777731876098461,650.0416442348978,422554.1392396095
B2,14,2,66,33,8,ce6ca82c326e584d8d688a7bedd72e06f508088c933485bfbfa222c82aab7fd0,-12.237247543975922,371.5683699825292,138063.0535714737
B2,14,3,67,33,8,ce6ca82c326e584d8d688a7bedd72e06f508088c933485bfbfa222c82aab7fd0,-3.707837344076121,367.0720134337019,134741.86304627184
